idHome,idAway,GD Home,GD Away,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Point Home,Point Away,Outcome
75,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
56,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
51,67,-4,4,15,25,5,13,8,8,4,6,4,1,0,0,0,3,1
87,41,1,0,10,12,6,7,12,27,6,2,1,3,0,0,3,1,1
47,52,-1,1,13,17,7,9,15,18,9,7,3,1,1,0,0,3,1
79,72,3,1,14,4,8,3,16,18,7,7,1,2,0,0,3,3,-1
39,70,0,4,19,13,10,6,16,12,8,8,2,0,0,0,1,3,1
60,63,0,1,13,10,10,5,15,20,7,1,1,3,0,0,1,3,0
64,56,-1,0,15,8,7,3,27,19,4,4,5,4,0,0,0,1,0
78,60,-4,-3,8,10,5,5,14,12,2,4,1,2,0,1,0,0,-1
38,62,-1,-1,9,12,5,7,22,13,9,8,1,3,1,0,0,0,0
85,75,-1,1,8,11,5,5,16,8,6,6,1,1,0,1,0,3,-1
67,79,4,3,35,35,18,19,23,24,8,18,5,3,1,0,4,4,0
60,47,1,1,18,23,11,15,19,30,6,13,3,5,2,1,3,3,0
56,60,-1,0,13,27,5,17,33,30,4,9,6,4,0,0,1,2,0
41,85,-1,-5,17,18,8,9,45,27,4,9,6,2,2,0,1,0,0
72,51,1,-4,8,31,5,15,40,19,14,13,5,6,0,0,4,1,0
75,38,5,-1,25,23,15,14,15,38,11,17,1,1,1,1,6,1,0
62,64,-1,0,27,35,16,11,20,41,17,10,4,6,0,0,1,3,0
70,78,5,-8,24,18,14,9,26,25,12,7,2,3,0,0,6,0,0
38,41,-3,-1,29,29,17,12,54,62,23,10,5,9,1,2,1,2,1
51,60,-8,1,44,28,19,15,33,27,17,12,10,4,0,2,1,4,0
87,67,2,3,27,49,13,28,24,37,13,17,1,7,1,1,6,4,0
47,62,1,-1,36,49,19,26,38,40,21,25,6,6,1,0,4,2,-1
85,56,-5,-1,31,28,12,11,43,43,13,10,4,8,0,0,1,2,-1
39,63,-1,1,26,22,15,10,34,39,10,8,4,4,0,0,1,4,0
64,52,0,-1,44,40,15,24,68,32,15,17,11,5,0,0,4,3,-1
78,72,-9,5,30,21,11,13,37,52,9,14,5,7,0,0,0,7,0
79,75,4,7,48,39,24,21,34,31,18,13,4,4,0,1,7,9,1
60,70,0,6,41,38,25,19,41,32,19,22,7,4,0,0,3,9,0
75,72,8,5,49,30,26,15,42,68,18,20,7,12,1,0,12,8,0
67,62,3,2,56,67,32,37,56,57,21,30,11,9,1,0,5,5,0
51,85,-8,-6,57,58,28,28,51,60,29,19,14,6,0,0,2,1,1
60,70,1,5,35,48,16,28,43,42,15,27,6,4,2,0,5,9,0
87,64,2,-3,39,62,18,21,35,83,16,24,1,11,1,0,7,4,1
47,39,-2,-2,47,45,24,25,60,49,30,19,9,6,1,0,4,1,0
60,78,1,-9,53,41,30,13,49,52,28,13,8,8,0,0,6,1,1
63,52,2,2,29,49,13,29,54,45,14,21,5,7,0,0,7,6,0
79,38,3,-1,59,39,31,25,46,72,23,34,8,6,0,1,7,4,-1
41,56,-3,0,34,36,16,15,79,64,11,13,11,11,3,0,2,5,1
38,60,-4,-1,47,43,29,19,83,62,37,18,7,8,1,3,4,5,1
52,79,2,6,57,76,35,40,66,57,22,27,11,8,1,0,7,10,0
56,63,-4,2,50,44,17,22,74,70,18,22,13,6,0,1,5,8,0
62,41,4,1,88,53,51,27,68,89,40,20,11,11,0,3,8,5,1
39,51,-2,-6,49,70,27,36,70,68,22,39,11,17,1,0,2,5,0
72,67,5,1,38,64,17,37,87,69,21,26,15,13,0,2,9,5,-1
64,60,-5,3,71,68,24,40,103,65,27,35,15,11,0,0,4,9,-1
78,87,-11,4,51,51,16,24,72,51,16,26,13,2,0,1,1,10,-1
70,75,7,8,62,61,37,33,60,53,30,25,6,9,0,1,12,13,0
85,47,-8,-2,65,56,34,31,74,80,20,36,9,14,0,2,1,5,1
75,39,8,-2,56,63,29,34,60,85,22,29,11,12,1,1,14,3,0
63,72,4,4,51,43,25,20,84,86,23,21,8,15,1,0,11,9,1
51,78,-6,-16,63,51,37,15,72,73,40,15,14,14,0,0,6,1,-1
87,38,9,-3,65,53,32,30,66,74,29,38,5,9,1,0,13,7,1
41,70,0,7,50,58,23,38,71,59,22,26,8,10,3,0,5,13,-1
60,85,5,-7,67,66,40,33,64,70,35,18,11,10,0,0,12,4,-1
67,52,2,2,51,70,34,44,79,80,26,24,15,13,2,1,8,8,-1
60,62,-2,5,41,95,17,52,63,65,16,36,8,8,2,0,5,11,1
47,56,-3,-6,52,54,29,20,79,70,33,20,14,13,1,1,5,5,1
79,64,6,-7,69,69,38,23,60,91,24,27,12,11,0,0,11,4,0
52,41,4,-3,60,55,37,26,73,60,22,27,16,5,1,1,11,5,1
56,67,-10,0,55,47,20,29,71,78,24,29,13,13,1,1,5,8,1
62,75,4,9,97,53,52,26,67,66,32,20,8,11,0,1,11,17,0
70,63,10,6,58,48,39,25,56,74,25,26,8,6,0,1,16,14,1
39,60,-3,4,49,63,28,39,86,61,25,37,11,12,1,1,3,12,1
72,60,2,-1,49,47,23,16,80,67,18,21,15,9,0,1,9,8,1
64,47,-7,1,53,62,21,30,92,75,27,40,11,12,0,1,5,8,1
78,79,-16,6,49,69,15,37,66,59,13,19,12,12,0,0,2,12,0
38,51,-4,-6,46,69,22,41,67,77,35,43,11,14,0,0,7,7,0
85,87,-6,10,68,65,38,31,78,61,19,29,12,4,0,1,7,16,-1
63,87,3,11,41,58,22,30,66,67,20,30,6,6,2,0,14,19,0
75,87,10,11,51,59,28,33,70,70,21,45,10,10,1,0,20,20,0
52,78,6,-15,53,45,30,17,73,67,16,14,14,13,1,0,14,5,0
56,70,-9,13,55,54,19,42,79,63,20,20,14,6,1,0,8,19,0
79,51,5,-6,65,71,37,42,56,79,29,44,13,15,0,0,12,8,0
85,39,-7,-2,70,56,41,32,76,82,17,31,11,12,0,1,7,6,-1
72,62,1,3,52,88,23,49,88,59,24,35,16,8,0,0,9,11,1
63,38,3,-4,40,54,21,27,61,65,16,38,7,8,2,0,15,8,0
47,60,-2,3,61,56,30,35,81,60,38,31,13,11,1,1,8,12,0
41,64,-5,-4,51,57,26,24,53,80,25,24,3,8,1,0,5,8,1
67,60,-1,0,50,48,28,18,84,73,25,24,12,10,1,1,8,11,-1
52,39,6,-1,53,41,29,25,72,79,16,24,14,13,1,1,15,9,1
38,47,-4,-2,46,63,20,31,67,70,31,37,8,11,0,1,9,9,0
51,63,-10,3,70,29,41,15,69,61,36,11,12,8,0,1,8,16,-1
87,79,10,9,54,70,30,43,67,55,38,31,11,10,0,1,20,15,1
62,56,2,-10,83,50,45,17,52,77,33,24,7,15,0,1,11,8,0
70,52,14,5,62,49,43,27,61,65,17,19,7,12,0,0,22,15,0
39,72,0,2,48,53,30,27,74,94,29,23,10,13,0,0,12,12,1
60,67,3,-2,63,58,37,30,58,82,28,26,12,11,1,1,13,8,0
78,41,-15,-6,48,68,21,37,63,48,21,29,12,4,0,0,6,5,-1
60,75,1,11,51,54,22,32,69,70,24,22,8,8,1,1,14,23,0
64,85,-3,-8,46,54,22,32,84,76,16,19,11,12,0,0,11,7,0
47,87,-2,11,62,47,26,26,62,60,34,36,7,8,0,0,10,23,0
56,75,-12,11,43,53,20,31,80,72,22,20,15,7,1,1,8,24,-1
70,72,12,-1,65,54,43,29,53,89,24,28,9,11,0,0,22,12,1
85,78,-8,-14,63,50,36,26,72,49,23,20,11,7,0,0,8,9,0
39,38,3,-4,44,54,31,22,71,67,28,37,9,7,0,0,15,10,0
60,79,5,8,70,62,42,40,59,52,26,32,9,10,1,1,16,15,-1
64,51,-3,-11,49,73,27,40,78,66,21,33,10,10,0,0,12,8,0
52,62,7,4,48,82,25,40,65,52,19,32,12,5,0,0,18,14,0
41,67,-7,-4,56,56,31,28,51,83,26,24,6,10,0,1,5,8,0
63,60,4,1,29,49,15,23,63,65,13,28,8,7,1,0,19,15,-1
75,64,14,-4,60,46,39,27,68,81,20,24,4,12,0,0,27,12,-1
38,85,-4,-6,50,68,22,43,71,68,30,26,7,10,1,0,11,11,-1
51,60,-10,3,90,66,49,37,60,55,33,23,9,9,0,1,11,16,0
60,52,2,6,54,51,29,29,70,67,34,18,6,9,0,1,18,18,1
72,56,-4,-15,54,40,26,19,84,77,24,20,12,12,0,0,12,8,1
78,63,-16,3,51,36,24,23,46,67,22,24,7,8,1,1,9,19,0
87,39,12,3,54,61,28,40,64,63,31,39,8,10,0,0,26,16,1
62,70,5,15,73,66,38,40,52,55,36,23,6,5,0,0,17,25,0
79,41,10,-5,68,51,43,31,49,53,34,24,6,8,1,0,18,8,-1
67,47,-6,-3,54,65,20,25,76,53,24,31,8,4,1,0,8,10,1
63,75,3,15,35,58,23,35,68,63,24,26,8,5,0,0,20,30,-1
47,78,-4,-16,53,54,18,24,51,55,23,27,6,9,0,1,10,10,1
56,51,-20,-10,40,86,22,46,73,54,18,29,14,9,0,0,8,12,-1
41,60,-2,4,47,52,30,31,58,69,20,28,10,5,0,0,11,21,1
70,67,16,-5,61,66,35,32,53,78,26,31,7,9,0,1,28,11,1
85,62,-4,4,64,66,37,33,65,59,24,33,9,6,0,0,14,17,0
39,79,-2,7,51,61,34,37,54,49,31,40,7,6,1,1,16,18,0
60,87,3,17,64,59,36,30,57,59,25,25,6,6,1,0,17,29,0
64,38,-5,-6,47,55,27,25,88,81,23,30,15,6,0,1,12,11,0
52,72,4,1,46,58,28,27,65,77,19,23,9,10,1,0,18,15,1
38,60,-7,2,54,70,23,35,82,54,24,24,6,4,1,1,11,17,1
67,64,-6,-4,62,44,29,25,73,87,30,24,9,13,1,0,11,15,0
51,47,-8,-2,81,64,46,29,49,44,26,25,4,6,0,0,15,13,1
60,56,4,-22,48,38,29,27,70,70,22,24,4,12,0,0,22,8,-1
72,41,-1,-2,54,52,25,33,73,63,28,19,10,11,1,0,15,12,-1
78,39,-18,1,54,64,24,41,65,55,27,33,8,5,1,1,10,19,0
75,52,18,6,55,45,33,28,54,62,29,17,5,7,0,1,33,21,0
87,70,18,17,54,65,26,35,58,46,10,28,3,7,0,0,32,31,1
62,63,4,0,61,36,27,22,62,66,26,30,6,7,0,0,18,20,0
79,85,4,-4,57,57,33,34,58,67,32,25,6,10,1,0,18,15,-1
63,67,-2,-5,39,65,23,35,67,66,31,34,6,6,0,1,20,14,0
52,51,6,-6,48,82,25,44,59,52,13,29,6,3,1,0,22,18,0
56,87,-21,19,47,59,31,27,68,56,21,9,9,5,0,0,11,35,1
41,75,0,18,37,64,21,38,65,56,18,32,9,5,0,0,15,34,0
